iter	F1	Logloss
0	0.741617357	0.6763888266
1	0.7578125	0.6567803465
2	0.7603960396	0.6388708755
3	0.7510040161	0.6245929982
4	0.7595959596	0.610109839
5	0.752	0.5987710904
6	0.756	0.5882993272
7	0.7575150301	0.5750705218
8	0.7584830339	0.5620815336
9	0.7575150301	0.552171454
10	0.7550200803	0.5428337414
11	0.7580645161	0.5305468725
12	0.7570850202	0.5229350285
13	0.7570850202	0.5161353076
14	0.7555555556	0.5077228517
15	0.7595959596	0.5003421151
16	0.7615230461	0.4924116531
17	0.756	0.485851667
18	0.76	0.4798646567
19	0.76	0.4733146091
20	0.7584830339	0.4691112233
21	0.7609561753	0.4621814606
22	0.7658730159	0.456307411
23	0.7707509881	0.4511561817
24	0.7698412698	0.4456217556
25	0.7698412698	0.4406492416
26	0.7698412698	0.4375101333
27	0.7707509881	0.4325030742
28	0.7707509881	0.4286020007
29	0.7707509881	0.4245517653
30	0.7731755424	0.4229818184
31	0.7707509881	0.4209032999
32	0.7683168317	0.417567807
33	0.7707509881	0.4135839387
34	0.7707509881	0.412162652
35	0.7731755424	0.4105416041
36	0.7731755424	0.4084331774
37	0.7731755424	0.4061641161
38	0.7707509881	0.4037326773
39	0.7731755424	0.401737242
40	0.7731755424	0.3993998329
41	0.7731755424	0.3990462398
42	0.7747035573	0.396720788
43	0.7779960707	0.3941754923
44	0.7803921569	0.3925914756
45	0.7779960707	0.3911462538
46	0.7795275591	0.3896137783
47	0.7795275591	0.3878800007
48	0.7771203156	0.3872591976
49	0.7771203156	0.3861140029
50	0.7795275591	0.3837835469
51	0.7819253438	0.3814988831
52	0.7795275591	0.3797624406
53	0.7795275591	0.3788374122
54	0.7795275591	0.3776696931
55	0.7819253438	0.3766857558
56	0.7819253438	0.375167199
57	0.7819253438	0.3740628734
58	0.7819253438	0.3725622566
59	0.7819253438	0.3718692285
60	0.7819253438	0.3707513559
61	0.7795275591	0.3699475695
62	0.7795275591	0.3685889728
63	0.7795275591	0.3677905742
64	0.7795275591	0.3667492108
65	0.7858546169	0.3653473427
66	0.7834645669	0.3649956482
67	0.7834645669	0.363848573
68	0.7834645669	0.3630353858
69	0.7850098619	0.3627851033
70	0.7834645669	0.3616135837
71	0.7826086957	0.3609918199
72	0.7850098619	0.3606618758
73	0.7826086957	0.3596248775
74	0.7826086957	0.3588909978
75	0.7826086957	0.3584755036
76	0.7826086957	0.3582834298
77	0.7850098619	0.3577724441
78	0.7874015748	0.3568298452
79	0.7889546351	0.3566968236
80	0.7889546351	0.3560964037
81	0.7841584158	0.3554101918
82	0.7889546351	0.3547253119
83	0.790513834	0.3546984994
84	0.7944664032	0.3538794691
85	0.7944664032	0.353453703
86	0.7928994083	0.3532004148
87	0.7928994083	0.3528143316
88	0.7936507937	0.3516241946
89	0.796039604	0.3504998945
90	0.796039604	0.3502407529
91	0.796039604	0.349835999
92	0.796039604	0.3490139058
93	0.8023715415	0.3483478678
94	0.8007889546	0.3481996934
95	0.8023715415	0.3474456565
96	0.8023715415	0.3468606988
97	0.8	0.3464549921
98	0.8047337278	0.3462498645
99	0.8094302554	0.3451286126
100	0.8047337278	0.3451150976
101	0.8047337278	0.3450837677
102	0.8047337278	0.3449363843
103	0.8047337278	0.3447920538
104	0.8047337278	0.344719126
105	0.8047337278	0.3445336468
106	0.8094302554	0.3442236999
107	0.8094302554	0.3438225076
108	0.8094302554	0.3436561377
109	0.8094302554	0.3435743672
110	0.8117647059	0.3433139274
111	0.8117647059	0.343269032
112	0.8133595285	0.3426929706
113	0.8133595285	0.342648698
114	0.8133595285	0.3422492301
115	0.8101761252	0.3417365273
116	0.8101761252	0.3416430245
117	0.8117647059	0.3404992287
118	0.8117647059	0.3402730548
119	0.8117647059	0.3402010395
120	0.8117647059	0.3398232241
121	0.8117647059	0.3394998569
