iter	Passed	Remaining
0	486	485858
1	521	260332
2	564	187642
3	572	142542
4	581	115708
5	597	98928
6	610	86546
7	647	80298
8	671	73970
9	681	67478
10	688	61862
11	718	59148
12	727	55224
13	737	51910
14	750	49250
15	763	46978
16	775	44859
17	782	42667
18	795	41087
19	812	39820
20	823	38373
21	837	37245
22	851	36165
23	864	35156
24	870	33946
25	883	33094
26	893	32211
27	910	31592
28	919	30801
29	933	30167
30	935	29233
31	953	28838
32	963	28227
33	979	27835
34	981	27070
35	998	26743
36	1010	26289
37	1021	25861
38	1110	27363
39	1141	27398
40	1161	27174
41	1164	26551
42	1182	26307
43	1203	26145
44	1216	25821
45	1233	25580
46	1247	25301
47	1265	25104
48	1283	24908
49	1295	24611
50	1336	24874
51	1360	24810
52	1378	24634
53	1393	24410
54	1404	24131
55	1442	24309
56	1458	24129
57	1472	23918
58	1483	23655
59	1493	23399
60	1507	23210
61	1523	23042
62	1536	22855
63	1555	22742
64	1573	22637
65	1595	22575
66	1599	22273
67	1616	22157
68	1627	21958
69	1642	21818
70	1662	21752
71	1677	21618
72	1687	21429
73	1698	21256
74	1714	21147
75	1731	21052
76	1740	20857
77	1762	20832
78	1777	20725
79	1786	20539
80	1808	20521
81	1823	20414
82	1843	20366
83	1847	20144
84	1865	20079
85	1883	20017
86	1906	20002
87	1915	19856
88	1982	20291
89	2037	20601
90	2054	20525
91	2072	20455
92	2267	22116
93	2288	22058
94	2296	21878
95	2328	21928
96	2345	21831
97	2360	21729
98	2369	21565
99	2382	21446
100	2384	21227
101	2386	21010
102	2388	20801
103	2397	20653
104	2403	20485
105	2413	20352
106	2427	20255
107	2440	20156
108	2450	20033
109	2457	19882
110	2473	19814
111	2475	19629
112	2491	19560
113	2497	19408
114	2509	19311
115	2522	19222
116	2527	19075
117	2543	19013
118	2564	18985
119	2570	18852
120	2581	18756
121	2594	18671
122	2610	18614
123	2627	18561
124	2637	18459
125	2646	18358
126	2654	18249
127	2666	18164
128	2682	18115
129	2704	18098
130	2718	18036
131	2731	17960
132	2745	17894
133	2754	17803
134	2768	17736
135	2774	17626
136	2794	17602
137	2799	17486
138	2818	17455
139	2831	17393
140	2843	17324
141	2850	17224
142	2861	17147
143	2876	17099
144	2897	17082
145	2913	17041
146	2923	16962
147	2932	16882
148	2949	16847
149	2963	16795
150	2973	16720
151	2987	16665
152	2992	16567
153	3011	16545
154	3026	16497
155	3042	16461
156	3045	16351
157	3062	16318
158	3078	16283
159	3082	16180
160	3091	16112
161	3101	16045
162	3119	16016
163	3132	15966
164	3142	15903
165	3154	15849
166	3170	15815
167	3172	15712
168	3185	15664
169	3543	17298
170	3774	18298
171	3809	18340
172	3848	18399
173	3858	18314
174	3866	18227
175	3872	18132
176	3883	18055
177	3895	17990
178	3912	17945
179	3928	17896
180	3938	17819
181	3954	17774
182	3971	17730
183	3977	17640
184	3983	17547
185	3996	17488
186	4009	17431
187	4022	17375
188	4029	17291
189	4035	17205
190	4048	17148
191	4067	17117
192	4083	17076
193	4100	17035
194	4110	16967
195	4116	16885
196	4128	16829
197	4140	16769
198	4157	16733
199	4166	16665
200	4179	16615
201	4195	16572
202	4216	16553
203	4224	16482
204	4240	16446
205	4252	16389
206	4277	16384
207	4294	16353
208	4310	16315
209	4328	16284
210	4349	16263
211	4355	16188
212	4356	16097
213	4365	16035
214	4371	15961
215	4380	15898
216	4397	15866
217	4409	15817
218	4422	15770
219	4427	15696
220	4433	15627
221	4440	15560
222	4456	15529
223	4469	15484
224	4479	15429
225	4491	15383
226	4510	15360
227	4523	15316
228	4541	15291
229	4561	15269
230	4567	15204
231	4579	15160
232	4593	15120
233	4606	15078
234	4617	15032
235	4631	14992
236	4643	14949
237	4659	14918
238	4675	14887
239	4686	14841
240	4688	14767
241	4701	14726
242	4704	14657
243	4724	14636
244	4737	14598
245	4751	14563
246	4751	14563
247	4778	14549
248	4795	14523
249	4818	14512
250	4833	14479
251	4838	14419
252	4855	14393
253	4874	14371
254	4881	14318
255	4898	14290
256	4912	14256
257	4922	14212
258	4938	14184
259	4957	14164
260	4972	14134
261	4986	14098
262	5002	14070
263	5008	14017
264	5014	13960
265	5016	13894
266	5025	13849
267	5041	13821
268	5057	13795
269	5073	13767
270	5075	13702
271	5088	13668
272	5107	13650
273	5114	13600
274	5129	13573
275	5143	13540
276	5158	13513
277	5161	13454
278	5177	13428
279	5191	13396
280	5208	13374
281	5224	13350
282	5240	13325
283	5252	13290
284	5278	13288
285	5287	13246
286	5293	13197
287	5316	13188
288	5333	13167
289	5346	13136
290	5363	13112
291	5372	13071
292	5385	13038
293	5397	13006
294	5413	12982
295	5433	12966
296	5443	12927
297	5462	12910
298	5474	12878
299	5493	12860
300	5509	12838
301	5525	12813
302	5544	12795
303	5559	12771
304	5578	12753
